Video Title: NEMS Buckling Snap Through x2.0.mp4
Unit for displacement: Unit
Note: The coordinate system is anchored at NW 
           Frame        Time (s)              Δx      Confidence           Model      Resolution             FPS          Filter    Center (X,Y)       Top (X,Y)    Bottom (X,Y)
              56           1.931         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              57           1.966         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              58           2.000         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              59           2.034         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              60           2.069         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              61           2.103         -10.668               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              62           2.138         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              63           2.172         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              64           2.207         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              65           2.241         -10.696               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              66           2.276         -10.687               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              67           2.310         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              68           2.345         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              69           2.379         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              70           2.414         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              71           2.448         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              72           2.483         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              73           2.517         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              74           2.552         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              75           2.586         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              76           2.621         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              77           2.655         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              78           2.690         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              79           2.724         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              80           2.759         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              81           2.793         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              82           2.828         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              83           2.862         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              84           2.897         -10.641               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              85           2.931         -10.641               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              86           2.966         -10.614               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              87           3.000         -10.614               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              88           3.034         -10.614               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              89           3.069         -10.614               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              90           3.103         -10.489               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              91           3.138         -10.477               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              92           3.172         -10.477               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              93           3.207         -10.477               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              94           3.241         -10.440               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              95           3.276         -10.423               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              96           3.310         -10.422               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
