Video Title: NEMS Buckling Snap Through x2.0.mp4
Unit for displacement: Unit
Note: The coordinate system is anchored at NW 
           Frame        Time (s)              Δx      Confidence           Model      Resolution             FPS          Filter    Center (X,Y)       Top (X,Y)    Bottom (X,Y)
             246           8.483          16.373               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             247           8.517          16.373               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             248           8.552          16.373               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             249           8.586          16.373               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             250           8.621          16.373               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             251           8.655          16.385               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             252           8.690          16.384               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             253           8.724          16.384               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             254           8.759          16.384               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             255           8.793          16.384               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             256           8.828          16.384               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             257           8.862          16.638               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             258           8.897          16.625               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             259           8.931          16.625               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             260           8.966          16.630               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             261           9.000          16.630               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             262           9.034          16.628               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             263           9.069          16.628               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             264           9.103          16.628               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             265           9.138          16.627               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             266           9.172          16.627               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             267           9.207          16.627               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             268           9.241          16.627               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             269           9.276          16.627               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             270           9.310          16.627               -Continuity + Regression         418x360              29       Greyscale      (230, 184)       (214, 21)      (216, 336)
             271           9.345          15.367               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             272           9.379          15.367               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             273           9.414          15.367               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             274           9.448          15.367               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             275           9.483          15.366               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             276           9.517          15.354               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             277           9.552          15.341               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             278           9.586          15.331               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             279           9.621          15.319               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             280           9.655          15.319               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             281           9.690          15.319               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             282           9.724          15.307               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             283           9.759          15.307               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             284           9.793          15.307               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             285           9.828          15.307               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             286           9.862          15.292               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             287           9.897          15.279               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (216, 336)
             288           9.931          15.267               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             289           9.966          15.267               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             290          10.000          15.267               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             291          10.034          15.267               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             292          10.069          15.267               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             293          10.103          15.267               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             294          10.138          15.260               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             295          10.172          15.260               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             296          10.207          15.260               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             297          10.241          15.260               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             298          10.276          15.260               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             299          10.310          15.507               -Continuity + Regression         418x360              29       Greyscale      (230, 183)       (215, 21)      (217, 336)
             300          10.345          15.507               -Continuity + Regression         418x360              29       Greyscale      (230, 183)       (215, 21)      (217, 336)
             301          10.379          15.187               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (215, 21)      (216, 336)
             302          10.414          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             303          10.448          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             304          10.483          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             305          10.517          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             306          10.552          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             307          10.586          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             308          10.621          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             309          10.655          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             310          10.690          15.438               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             311          10.724          15.436               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             312          10.759          15.436               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             313          10.793          15.436               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             314          10.828          15.436               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             315          10.862          15.453               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             316          10.897          15.453               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             317          10.931          15.453               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (215, 21)      (217, 336)
             318          10.966          14.218               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             319          11.000          14.227               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             320          11.034          14.227               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             321          11.069          14.203               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             322          11.103          14.194               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             323          11.138          14.180               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             324          11.172          14.180               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             325          11.207          14.180               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             326          11.241          14.163               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             327          11.276          14.151               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             328          11.310          14.151               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             329          11.345          14.158               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             330          11.379          14.158               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             331          11.414          14.158               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             332          11.448          14.136               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             333          11.483          14.136               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             334          11.517          14.124               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             335          11.552          14.087               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             336          11.586          14.075               -Continuity + Regression         418x360              29       Greyscale      (230, 181)       (216, 21)      (217, 336)
             337          11.621          13.968               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             338          11.655          13.905               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             339          11.690          13.893               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             340          11.724          13.887               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             341          11.759          13.839               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             342          11.793          13.839               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             343          11.828          13.839               -Continuity + Regression         418x360              29       Greyscale      (230, 180)       (216, 21)      (217, 336)
             344          11.862          14.068               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (216, 21)      (218, 336)
             345          11.897          14.006               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (216, 21)      (218, 336)
             346          11.931          13.993               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (216, 21)      (218, 336)
             347          11.966          13.748               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (216, 21)      (218, 336)
             348          12.000          13.724               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (216, 21)      (218, 336)
             349          12.034          13.686               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (216, 21)      (218, 336)
             350          12.069          13.661               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (216, 21)      (218, 336)
             351          12.103          13.556               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (216, 21)      (218, 336)
             352          12.138          13.556               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (216, 21)      (218, 336)
             353          12.172          13.545               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (216, 21)      (218, 336)
             354          12.207          13.545               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (216, 21)      (218, 336)
             355          12.241          13.534               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (216, 21)      (218, 336)
             356          12.276          12.243               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             357          12.310          12.220               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             358          12.345          12.145               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             359          12.379          12.145               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             360          12.414          12.114               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             361          12.448          12.078               -Continuity + Regression         418x360              29       Greyscale      (229, 178)       (217, 21)      (218, 336)
             362          12.483          11.854               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             363          12.517          11.854               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             364          12.552          11.854               -Continuity + Regression         418x360              29       Greyscale      (229, 177)       (217, 21)      (218, 336)
             365          12.586          11.723               -Continuity + Regression         418x360              29       Greyscale      (228, 178)       (217, 21)      (218, 336)
             366          12.621          11.723               -Continuity + Regression         418x360              29       Greyscale      (228, 178)       (217, 21)      (218, 336)
             367          12.655          11.718               -Continuity + Regression         418x360              29       Greyscale      (228, 178)       (217, 21)      (218, 336)
             368          12.690          11.679               -Continuity + Regression         418x360              29       Greyscale      (228, 177)       (217, 21)      (218, 336)
             369          12.724          11.523               -Continuity + Regression         418x360              29       Greyscale      (228, 178)       (217, 21)      (218, 336)
             370          12.759          11.460               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (218, 336)
             371          12.793          11.316               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (218, 336)
             372          12.828          11.255               -Continuity + Regression         418x360              29       Greyscale      (228, 178)       (217, 21)      (218, 336)
             373          12.862          11.242               -Continuity + Regression         418x360              29       Greyscale      (228, 178)       (217, 21)      (218, 336)
             374          12.897          11.475               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (217, 21)      (219, 336)
             375          12.931          11.455               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (217, 21)      (219, 336)
             376          12.966          11.443               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             377          13.000          11.356               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (217, 21)      (219, 336)
             378          13.034          11.356               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (217, 21)      (219, 336)
             379          13.069          11.347               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (217, 21)      (219, 336)
             380          13.103          11.305               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             381          13.138          11.284               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             382          13.172          11.272               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             383          13.207          11.272               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             384          13.241          11.272               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             385          13.276          11.283               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             386          13.310          11.283               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             387          13.345          11.283               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             388          13.379          11.283               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             389          13.414          11.283               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             390          13.448          11.258               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             391          13.483          11.203               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             392          13.517          11.177               -Continuity + Regression         418x360              29       Greyscale      (228, 177)       (217, 21)      (219, 336)
             393          13.552          11.111               -Continuity + Regression         418x360              29       Greyscale      (228, 179)       (217, 21)      (219, 336)
             394          13.586          10.949               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             395          13.621          10.949               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             396          13.655          10.949               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             397          13.690          10.873               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             398          13.724          10.873               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             399          13.759          10.863               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             400          13.793          10.863               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             401          13.828          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             402          13.862          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             403          13.897          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             404          13.931          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             405          13.966          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             406          14.000          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             407          14.034          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             408          14.069          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             409          14.103          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             410          14.138          10.872               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             411          14.172          10.882               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             412          14.207          10.882               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             413          14.241          10.882               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             414          14.276          10.892               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             415          14.310          10.892               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             416          14.345          10.892               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             417          14.379          10.892               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             418          14.414          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             419          14.448          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             420          14.483          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             421          14.517          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             422          14.552          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             423          14.586          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             424          14.621          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             425          14.655          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             426          14.690          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             427          14.724          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             428          14.759          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             429          14.793          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             430          14.828          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             431          14.862          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             432          14.897          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             433          14.931          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             434          14.966          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             435          15.000          10.889               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             436          15.034          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             437          15.069          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             438          15.103          10.879               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             439          15.138          10.869               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             440          15.172          10.869               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             441          15.207          10.869               -Continuity + Regression         418x360              29       Greyscale      (227, 180)       (217, 21)      (219, 336)
             442          15.241          10.849               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             443          15.276          10.829               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (217, 21)      (219, 336)
             444          15.310          10.764               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (217, 21)      (219, 336)
             445          15.345          10.743               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             446          15.379          10.722               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             447          15.414          10.722               -Continuity + Regression         418x360              29       Greyscale      (227, 179)       (217, 21)      (219, 336)
             448          15.448           9.393               -Continuity + Regression         418x360              29       Greyscale      (227, 177)       (218, 21)      (219, 336)
             449          15.483           9.393               -Continuity + Regression         418x360              29       Greyscale      (227, 177)       (218, 21)      (219, 336)
             450          15.517           9.393               -Continuity + Regression         418x360              29       Greyscale      (227, 177)       (218, 21)      (219, 336)
             451          15.552           9.348               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             452          15.586           9.348               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             453          15.621           9.348               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             454          15.655           9.348               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             455          15.690           9.344               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             456          15.724           9.344               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             457          15.759           9.325               -Continuity + Regression         418x360              29       Greyscale      (227, 178)       (218, 21)      (219, 336)
             458          15.793           9.285               -Continuity + Regression         418x360              29       Greyscale      (227, 176)       (218, 21)      (219, 336)
             459          15.828           9.285               -Continuity + Regression         418x360              29       Greyscale      (227, 176)       (218, 21)      (219, 336)
             460          15.862           9.174               -Continuity + Regression         418x360              29       Greyscale      (227, 176)       (218, 21)      (219, 336)
             461          15.897           9.088               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             462          15.931           9.087               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             463          15.966           9.077               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             464          16.000           9.077               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             465          16.034           8.947               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             466          16.069           8.947               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             467          16.103           8.775               -Continuity + Regression         418x360              29       Greyscale      (227, 174)       (218, 21)      (219, 336)
             468          16.138           8.506               -Continuity + Regression         418x360              29       Greyscale      (226, 176)       (218, 21)      (219, 336)
             469          16.172           8.495               -Continuity + Regression         418x360              29       Greyscale      (226, 176)       (218, 21)      (219, 336)
             470          16.207           8.508               -Continuity + Regression         418x360              29       Greyscale      (226, 176)       (218, 21)      (219, 336)
             471          16.241          10.146               -Continuity + Regression         418x360              29       Greyscale      (228, 218)       (218, 21)      (219, 336)
             472          16.276          -7.648               -Continuity + Regression         418x360              29       Greyscale      (210, 163)       (218, 21)      (219, 336)
             473          16.310          -7.723               -Continuity + Regression         418x360              29       Greyscale      (210, 163)       (218, 21)      (219, 336)
             474          16.345          -7.753               -Continuity + Regression         418x360              29       Greyscale      (210, 165)       (218, 21)      (219, 336)
             475          16.379          -7.865               -Continuity + Regression         418x360              29       Greyscale      (210, 166)       (218, 21)      (219, 336)
             476          16.414          -7.934               -Continuity + Regression         418x360              29       Greyscale      (210, 166)       (218, 21)      (219, 336)
             477          16.448          -8.121               -Continuity + Regression         418x360              29       Greyscale      (210, 165)       (218, 21)      (219, 336)
             478          16.483          -8.259               -Continuity + Regression         418x360              29       Greyscale      (210, 167)       (218, 21)      (219, 336)
             479          16.517          -8.259               -Continuity + Regression         418x360              29       Greyscale      (210, 167)       (218, 21)      (219, 336)
             480          16.552          -8.259               -Continuity + Regression         418x360              29       Greyscale      (210, 167)       (218, 21)      (219, 336)
             481          16.586          -8.555               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             482          16.621          -8.579               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             483          16.655          -8.579               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             484          16.690          -8.783               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             485          16.724          -8.794               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             486          16.759          -8.839               -Continuity + Regression         418x360              29       Greyscale      (209, 167)       (218, 21)      (219, 336)
             487          16.793          -8.917               -Continuity + Regression         418x360              29       Greyscale      (209, 167)       (218, 21)      (219, 336)
             488          16.828          -8.917               -Continuity + Regression         418x360              29       Greyscale      (209, 167)       (218, 21)      (219, 336)
             489          16.862          -8.909               -Continuity + Regression         418x360              29       Greyscale      (209, 167)       (218, 21)      (219, 336)
             490          16.897          -9.129               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             491          16.931          -9.213               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             492          16.966          -9.228               -Continuity + Regression         418x360              29       Greyscale      (209, 166)       (218, 21)      (219, 336)
             493          17.000          -9.371               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             494          17.034          -9.467               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             495          17.069          -9.555               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             496          17.103          -9.555               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             497          17.138          -9.567               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             498          17.172          -9.566               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             499          17.207          -9.659               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             500          17.241          -9.725               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             501          17.276          -9.713               -Continuity + Regression         418x360              29       Greyscale      (208, 166)       (218, 21)      (219, 336)
